Sort	Id	Top	Child	Grandchild	Ctrl	Shift	Alt	Key	DisplayString	ShortcutLocked	Notes
1	mEditMenuItem	&Edit			0	0	0			1	
2	mEditUndoTSMI	&Edit	&Undo		1	0	0	Z		0	
3	mEditRedoTSMI	&Edit	&Redo		1	0	0	Y		0	
4	mEditSelectAllTSMI	&Edit	Select &All		1	0	0	A		0	
5	mEditSelectNoneTSMI	&Edit	Select &None		1	1	0	A		0	
6	mEditCutTSMI	&Edit	Cu&t		1	0	0	X		0	
7	mEditDeleteTSMI	&Edit	&Delete		0	0	0	Delete		0	
8	mEditTrimToBeginningTSMI	&Edit	Trim To &Beginning		1	0	1	X		0	
9	mEditTrimToEndTSMI	&Edit	Tr&im To End		1	1	0	F		0	
10	mEditCopyTSMI	&Edit	&Copy		1	0	0	C		0	
11	mEditCopyAllTSMI	&Edit	Cop&y All		1	0	1	C		0	
12	mEditCopyToBeginningTSMI	&Edit	C&opy To Beginning		1	1	0	Home		0	
13	mEditCopyToEndTSMI	&Edit	Copy To &End		1	1	0	End		0	
14	mEditPasteTSMI	&Edit	&Paste		1	0	0	V		0	
15	mEditFindTSMI	&Edit	&Find		1	0	0	F		0	
16	mEditFindNextTSMI	&Edit	Find Ne&xt		1	0	1	F		0	
17	mEditFindPreviousTSMI	&Edit	Find Pre&vious		1	1	1	F		0	
18	mEditReplaceTSMI	&Edit	Rep&lace		1	0	0	H		0	
19	mEditGoToTSMI	&Edit	&GoTo		1	0	0	G		0	
21	mTargetingMenuItem	&Targeting			0	0	0			1	
22	mTargetingTargetedTSMI	&Targeting	&Targeted		1	0	0	D		0	
23	mTargetingRetargetTSMI	&Targeting	&Retarget		1	0	0	E		0	
24	mTargetingDefaultEndingsTSMI	&Targeting	&Default		1	0	0	J	(\\n)        Ctrl+J	0	
25	mTargetingInsertCRTSMI	&Targeting	&Insert CR		1	0	0	K	(\\r\\n)        Ctrl+K	0	
26	mTargetingAppendCRTSMI	&Targeting	&Append CR		1	0	0	L	(\\n\\r)        Ctrl+L	0	
27	mViewMenuItem	&View			0	0	0			1	
28	mViewTransparentTSMI	&View	&Transparent		1	0	0	T		0	
29	mViewTenTSMI	&View	&10%		1	0	0	D1		0	
30	mViewTwentyTSMI	&View	&20%		1	0	0	D2		0	
31	mViewThirtyTSMI	&View	&30%		1	0	0	D3		0	
32	mViewFortyTSMI	&View	&40%		1	0	0	D4		0	
33	mViewFiftyTSMI	&View	&50%		1	0	0	D5		0	
34	mViewSixtyTSMI	&View	&60%		1	0	0	D6		0	
35	mViewSeventyTSMI	&View	&70%		1	0	0	D7		0	
36	mViewEightyTSMI	&View	&80%		1	0	0	D8		0	
37	mViewNinetyTSMI	&View	&90%		1	0	0	D9		0	
38	mViewOpaqueTSMI	&View	&Opaque		1	0	0	O		0	
39	mViewScrollingTSMI	&View	&Scrolling		0	0	0			1	
40	mViewScrollingEdgeTSMI	&View	&Scrolling	&Edge	0	0	0			1	
41	mViewScrollingEdgeTopTSMI	&View	&Edge	&Top	1	0	1	F1		0	
42	mViewScrollingEdgeBottomTSMI	&View	&Edge	&Bottom	1	0	1	F2		0	
43	mViewScrollingEdgeLeftTSMI	&View	&Edge	&Left	1	0	1	F3		0	
44	mViewScrollingEdgeRightTSMI	&View	&Edge	&Right	1	0	1	F4		0	
45	mViewScrollingScrollTSMI	&View	&Scrolling	&Scroll	0	0	0			1	
46	mViewScrollingScrollUpTSMI	&View	&Scroll	&Up	1	0	1	F5		0	
47	mViewScrollingScrollDownTSMI	&View	&Scroll	&Down	1	0	1	F6		0	
48	mViewScrollingScrollLeftTSMI	&View	&Scroll	&Left	1	0	1	F7		0	
49	mViewScrollingScrollRightTSMI	&View	&Scroll	&Right	1	0	1	F8		0	
50	mViewScrollingPageTSMI	&View	&Scrolling	&Page	0	0	0			1	
51	mViewScrollingPageUpTSMI	&View	&Page	&Up	1	0	1	F9		0	
52	mViewScrollingPageDownTSMI	&View	&Page	&Down	1	0	1	F10		0	
53	mViewScrollingPageLeftTSMI	&View	&Page	&Left	1	0	1	F11		0	
54	mViewScrollingPageRightTSMI	&View	&Page	&Right	1	0	1	F12		0	
55	mViewWordWrapTSMI	&View	&Wordwrap		1	0	0	W		0	
56	mViewLineNumbersTSMI	&View	Line &Numbers		1	0	0	N		0	
57	mModeMenuItem	Mo&de			0	0	0			1	
58	mModeMinimalTSMI	Mo&de	&Minimal		1	0	0	M		0	
59	mModeFeaturesTSMI	Mo&de	&Features		1	1	0	G		0	
60	mLanguageMenuItem	&Language			0	0	0			1	
61	mLanguagePlainTextTSMI	&Language	Plain&text		1	0	1	G		0	
62	mLanguageCSharpTSMI	&Language	CSha&rp		1	0	1	H		0	
